ID;Species;Phase;ID_neu;EcoUnit;Treatment;Hair density ;Toughness ;CA_Mean;Fresh_weight [g];Dry weight[mg];Leaf area;SLA;LDMC;LDMC_2;SPAD;Height;FvFm;PIabs
Bro_hor_12_2;Bromus hordeaceus;2;Bromus hordeaceus_2;12;30.313;1.2185;4.7725;98.52666667;3.07;524;16658.7;31.7914;170684.0391;170.6840391;32.2;45;0.813;3.867833333
Bro_hor_1_3;Bromus hordeaceus;3;Bromus hordeaceus_3;1;0.081;1.58375;3.0075;112.28;1.725;239;10526.5;44.0439;138550.7246;138.5507246;37.03333333;31.16666667;0.815166667;3.832833333
Bro_hor_2_3;Bromus hordeaceus;3;Bromus hordeaceus_3;2;0.3;1.6175;3.57;121.8125;2.072;297;11316.1;38.1013;143339.7683;143.3397683;31.9;30.33333333;0.794166667;2.734333333
Bro_hor_3_3;Bromus hordeaceus;3;Bromus hordeaceus_3;3;0.94;1.97175;3.7225;119.7925;1.772;264;10230.6;38.7523;148984.1986;148.9841986;32.6;30.66666667;0.814166667;4.129666667
Bro_hor_4_3;Bromus hordeaceus;3;Bromus hordeaceus_3;4;0.103;1.787333333;4.116666667;113.6625;1.421;205;9266.1;45.2005;144264.6024;144.2646024;32.06666667;33.16666667;0.8175;3.864833333
Bro_hor_5_3;Bromus hordeaceus;3;Bromus hordeaceus_3;5;0;1.4015;2.125;117.92;2.624;342;14114.3;41.2699;130335.3659;130.3353659;34.6;37.16666667;0.8105;3.115833333
Bro_hor_6_3;Bromus hordeaceus;3;Bromus hordeaceus_3;6;0.0087;1.61175;3.0975;118.525;2.797;382;14642;38.3298;136574.9017;136.5749017;33.3;32.5;0.817333333;4.101333333
Bro_hor_7_3;Bromus hordeaceus;3;Bromus hordeaceus_3;7;0.028;1.84975;3.3275;110.895;2.39;378;12829.9;33.9415;158158.9958;158.1589958;37.36666667;29.66666667;0.815833333;4.403333333
Bro_hor_8_3;Bromus hordeaceus;3;Bromus hordeaceus_3;8;0;1.34575;2.4825;118.4875;1.987;277;11620.2;41.9502;139406.1399;139.4061399;37.26666667;36.5;0.805666667;3.975166667
Bro_hor_9_3;Bromus hordeaceus;3;Bromus hordeaceus_3;9;9.883;1.93825;3.3;116.36;2.255;359;12625.2;35.1677;159201.7738;159.2017738;36.73333333;32.16666667;0.818;4.144833333
Bro_hor_10_3;Bromus hordeaceus;3;Bromus hordeaceus_3;10;3.033;1.623;1.9925;116.5875;1.917;273;11199.7;41.0245;142410.0156;142.4100156;37.3;32;0.813666667;3.629833333
Bro_hor_11_3;Bromus hordeaceus;3;Bromus hordeaceus_3;11;30.313;1.97875;4.35;110.1925;0.563;82;4022.1;49.05;145648.3126;145.6483126;35.96666667;31.5;0.807833333;3.415833333
Bro_hor_12_3;Bromus hordeaceus;3;Bromus hordeaceus_3;12;30.313;1.8775;2.95;117.1825;2.422;392;13960;35.6122;161849.711;161.849711;31.5;33;0.8085;3.651833333
Pla_lan_1_2;Plantago lanceolata;2;Plantago lanceolata_2;1;0.081;0.85725;1.59;30.24666667;1.894;185;6522.2;35.2551;97676.87434;97.67687434;27.63333333;16.66666667;NA;NA
Pla_lan_2_2;Plantago lanceolata;2;Plantago lanceolata_2;2;0.3;0.6345;1.24;29.91;1.39;141;4951;35.1135;101438.8489;101.4388489;21.1;16;NA;NA
Pla_lan_3_2;Plantago lanceolata;2;Plantago lanceolata_2;3;0.94;0.66825;2.2675;37.615;6.744;833;20327.5;24.4028;123517.2005;123.5172005;36.23333333;35;NA;NA
Pla_lan_4_2;Plantago lanceolata;2;Plantago lanceolata_2;4;0.103;0.5555;1.4375;34.665;5.138;451;13791.6;30.58;87777.34527;87.77734527;40.03333333;30;NA;NA
Pla_lan_5_2;Plantago lanceolata;2;Plantago lanceolata_2;5;0;1.125;1.64;31.85;1.94;156;5859.7;37.5622;80412.37113;80.41237113;31.1;27.75;NA;NA
Pla_lan_6_2;Plantago lanceolata;2;Plantago lanceolata_2;6;0.0087;0.405;1.53;23.465;1.887;180;5014;27.8556;95389.50715;95.38950715;25.03333333;25;NA;NA
Pla_lan_7_2;Plantago lanceolata;2;Plantago lanceolata_2;7;0.028;1.084;1.67;54.77;1.037;74;3079.6;41.6162;71359.69142;71.35969142;26.2;28;NA;NA
Pla_lan_8_2;Plantago lanceolata;2;Plantago lanceolata_2;8;0;1.5;1.6225;47.72;NA;NA;NA;NA;NA;NA;43.6;37.5;NA;NA
Pla_lan_9_2;Plantago lanceolata;2;Plantago lanceolata_2;9;9.883;2.75;1.67;45.065;1.979;196;6722.2;34.2969;99039.91915;99.03991915;29.46666667;32.5;NA;NA
Pla_lan_10_2;Plantago lanceolata;2;Plantago lanceolata_2;10;3.033;0.533333333;1.975;58.58;23.788;3192;63712.1;19.9599;134185.3035;134.1853035;33.95;26;NA;NA
Pla_lan_11_2;Plantago lanceolata;2;Plantago lanceolata_2;11;30.313;1.3775;1.835;44.2;10.536;1042;30244.7;29.0256;98899.01291;98.89901291;42.53333333;32.66666667;NA;NA
Pla_lan_12_2;Plantago lanceolata;2;Plantago lanceolata_2;12;30.313;0.545;1.735;46.255;3.467;390;9941.6;25.4913;112489.1837;112.4891837;33.16666667;34;NA;NA
Pla_lan_1_3;Plantago lanceolata;3;Plantago lanceolata_3;1;0.081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pla_lan_2_3;Plantago lanceolata;3;Plantago lanceolata_3;2;0.3;0.299;2.41;51.78;1.522;132;5605.7;42.4674;86727.98949;86.72798949;30.9;12.75;NA;NA
Pla_lan_3_3;Plantago lanceolata;3;Plantago lanceolata_3;3;0.94;0.46525;2.7525;54.795;3.722;438;13690.9;31.2578;117678.6674;117.6786674;38.9;19;NA;NA
Pla_lan_4_3;Plantago lanceolata;3;Plantago lanceolata_3;4;0.103;0.42075;1.5475;44.535;6.418;538;19452.4;36.1569;83826.7373;83.8267373;37.5;17.75;NA;NA
Pla_lan_5_3;Plantago lanceolata;3;Plantago lanceolata_3;5;0;0.443;2.16;33.05;1.485;137;5653.2;41.2642;92255.89226;92.25589226;44.5;13.5;NA;NA
Pla_lan_6_3;Plantago lanceolata;3;Plantago lanceolata_3;6;0.0087;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pla_lan_7_3;Plantago lanceolata;3;Plantago lanceolata_3;7;0.028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pla_lan_8_3;Plantago lanceolata;3;Plantago lanceolata_3;8;0;0.803;2.28;53.9725;13.409;1428;37093.1;25.9756;106495.6373;106.4956373;52.6;23;NA;NA
Pla_lan_9_3;Plantago lanceolata;3;Plantago lanceolata_3;9;9.883;0.79;2.626666667;50.455;1.025;116;4385.2;37.8034;113170.7317;113.1707317;45.5;18;NA;NA
Pla_lan_10_3;Plantago lanceolata;3;Plantago lanceolata_3;10;3.033;0.3545;1.9175;63.3275;8.584;949;25609.9;26.9862;110554.52;110.55452;52.13333333;18.83333333;NA;NA
Pla_lan_11_3;Plantago lanceolata;3;Plantago lanceolata_3;11;30.313;0.709;2.35;49.88;9.354;903;26919.2;29.8109;96536.24118;96.53624118;38.2;19.16666667;NA;NA
Pla_lan_12_3;Plantago lanceolata;3;Plantago lanceolata_3;12;30.313;2.088;2.675;55.9;7.819;822;24253.2;29.5051;105128.5331;105.1285331;40.4;21;NA;NA
Tri_rep_1_2;Trifolium repens;2;Trifolium repens_2;1;0.081;NA;1.7125;107.04;2.447;342;16094.9;47.0611;139762.9751;139.7629751;46.26666667;26.5;0.8075;3.386666667
Tri_rep_2_2;Trifolium repens;2;Trifolium repens_2;2;0.3;NA;1.45;94.075;2.18;306;13992.6;45.7275;140366.9725;140.3669725;41.96666667;30.33333333;0.835;7.158666667
Tri_rep_3_2;Trifolium repens;2;Trifolium repens_2;3;0.94;NA;1.6775;93.76;0.957;154;6942.1;45.0786;160919.5402;160.9195402;43.73333333;22;0.832666667;6.199833333
Tri_rep_4_2;Trifolium repens;2;Trifolium repens_2;4;0.103;NA;1.74;97.0075;0.766;108;5433.3;50.3083;140992.1671;140.9921671;37.46666667;27.33333333;0.834666667;7.460833333
Tri_rep_5_2;Trifolium repens;2;Trifolium repens_2;5;0;NA;1.9;112.155;2.008;275;13383.8;48.6684;136952.1912;136.9521912;42.96666667;27.5;0.822666667;6.257333333
Tri_rep_6_2;Trifolium repens;2;Trifolium repens_2;6;0.0087;NA;2.14;102.93;1.932;306;14101.4;46.083;158385.0932;158.3850932;50.63333333;27.5;0.827166667;6.618166667
Tri_rep_7_2;Trifolium repens;2;Trifolium repens_2;7;0.028;NA;1.99;103.215;0.392;58;2687.1;46.3293;147959.1837;147.9591837;40.03333333;27.83333333;0.8325;6.459333333
Tri_rep_8_2;Trifolium repens;2;Trifolium repens_2;8;0;NA;1.6075;95.185;0.931;140;6538.3;46.7021;150375.9398;150.3759398;48.6;28;0.838;7.602666667
Tri_rep_9_2;Trifolium repens;2;Trifolium repens_2;9;9.883;NA;1.25;101.595;2.065;314;13182.9;41.9838;152058.1114;152.0581114;46.76666667;27.66666667;0.8135;3.694333333
Tri_rep_10_2;Trifolium repens;2;Trifolium repens_2;10;3.033;NA;2;102.55;1.763;289;12771.9;44.1934;163925.1276;163.9251276;44.83333333;28.16666667;0.826333333;4.768333333
Tri_rep_11_2;Trifolium repens;2;Trifolium repens_2;11;30.313;NA;1.8475;91.97;2.876;416;20040.9;48.1752;144645.3408;144.6453408;41.86666667;24.33333333;0.8205;5.12
Tri_rep_12_2;Trifolium repens;2;Trifolium repens_2;12;30.313;NA;1.2925;94.415;2.085;347;14738.9;42.4752;166426.8585;166.4268585;45.7;27;0.828666667;4.463833333
Tri_rep_1_3;Trifolium repens;3;Trifolium repens_3;1;0.081;NA;2.3375;109.0775;1.148;173;8063.2;46.6081;150696.8641;150.6968641;46.46666667;11.66666667;0.8355;7.368666667
Tri_rep_2_3;Trifolium repens;3;Trifolium repens_3;2;0.3;NA;1.535;118.1675;1.347;184;8431.9;45.8255;136599.8515;136.5998515;42.1;12.66666667;0.832;6.229
Tri_rep_3_3;Trifolium repens;3;Trifolium repens_3;3;0.94;NA;2.3575;114.0275;1.35;175;8673;49.56;129629.6296;129.6296296;40.86666667;14.33333333;0.821666667;7.063166667
Tri_rep_4_3;Trifolium repens;3;Trifolium repens_3;4;0.103;NA;1.945;106.3825;1.287;195;8271.1;42.4159;151515.1515;151.5151515;42.53333333;15;0.827833333;7.615
Tri_rep_5_3;Trifolium repens;3;Trifolium repens_3;5;0;NA;1.7925;114.65;1.281;167;8576.5;51.3563;130366.9009;130.3669009;41.56666667;15.83333333;0.843833333;6.292166667
Tri_rep_6_3;Trifolium repens;3;Trifolium repens_3;6;0.0087;NA;2.5125;112.9775;1.281;190;8183.3;43.07;148321.6237;148.3216237;41.6;17;0.8215;6.096333333
Tri_rep_7_3;Trifolium repens;3;Trifolium repens_3;7;0.028;NA;2.525;105.3575;1.007;156;6492.3;41.6173;154915.5909;154.9155909;42.16666667;15.16666667;0.830833333;6.217166667
Tri_rep_8_3;Trifolium repens;3;Trifolium repens_3;8;0;NA;2.8025;115.0925;1.516;222;9451.4;42.5739;146437.9947;146.4379947;38.26666667;13.5;0.8175;4.87
Tri_rep_9_3;Trifolium repens;3;Trifolium repens_3;9;9.883;NA;2.3525;119.7625;1.163;184;8172.8;44.4174;158211.5219;158.2115219;43.16666667;16.33333333;0.834833333;8.350833333
Tri_rep_10_3;Trifolium repens;3;Trifolium repens_3;10;3.033;NA;2.47;117.31;0.998;151;6960;46.0927;151302.6052;151.3026052;47.13333333;14.33333333;0.825333333;5.505666667
Tri_rep_11_3;Trifolium repens;3;Trifolium repens_3;11;30.313;NA;2.11;121.59;1.201;184;8137.2;44.2239;153205.6619;153.2056619;43.23333333;12;0.829666667;6.065166667
Tri_rep_12_3;Trifolium repens;3;Trifolium repens_3;12;30.313;NA;2.125;114.7425;1.234;192;8809.2;45.8813;155591.5721;155.5915721;49.7;17;0.831666667;5.0975
